"X","Y"
-52.1193175,-32.037914
-52.0855406,-32.0482167
-52.1193351,-32.0419646
-52.1174201,-32.041153
-52.1222158,-32.043198
-52.1216096,-32.0429411
-52.1227737,-32.0434367
-52.120463,-32.0424522
-52.1171895,-32.041054
-52.0873649,-32.039727
-52.1339483,-32.0471637
-52.1016741,-32.0449975
-52.117453,-32.046423
-52.1284466,-32.0502545
-52.1239327,-32.0505528
-52.1239327,-32.0505528
-52.1217953,-32.0493739
-52.1175434,-32.04624
-52.1235714,-32.0510316
-52.1214288,-32.0498399
-52.1190879,-32.0485922
-52.1293424,-32.0541915
-52.1177002,-32.0484589
-52.1202567,-32.0403284
-52.1183718,-32.0395285
-52.1181439,-32.0394308
-52.117029,-32.0389525
-52.115882,-32.038465
-52.1225196,-32.0412981
-52.1213715,-32.0408109
-52.1147573,-32.037987
-52.1135962,-32.0375214
-52.1114666,-32.0366149
-52.1365448,-32.0512824
-52.1152982,-32.0442705
-52.114183,-32.0438249
-52.1130473,-32.0433399
-52.1118996,-32.0428566
-52.1155348,-32.0443713
-52.1163036,-32.0447087
-52.1250356,-32.0454252
-52.1295644,-32.0473742
-52.0947911,-32.0468731
-52.0947898,-32.0464758
-52.0948123,-32.0456801
-52.0947921,-32.0472603
-52.0948184,-32.0453039
-52.0948311,-32.0449026
-52.0948405,-32.0445041
-52.0948519,-32.0441088
-52.0948572,-32.0437232
-52.0948661,-32.0433291
-52.094866,-32.0429445
-52.094871,-32.0425429
-52.0947785,-32.0475226
-52.1261664,-32.0459022
-52.1257098,-32.0466729
-52.1295644,-32.0473742
-52.1291235,-32.0481252
-52.1236521,-32.0417693
-52.124124,-32.0409752
-52.1231734,-32.042585
-52.1199077,-32.0422169
-52.1189516,-32.0438451
-52.1290207,-32.0471392
-52.1299926,-32.0454831
-52.09634,-32.0464468
-52.0955329,-32.0466005
-52.125389,-32.0520426
-52.1255782,-32.0514604
-52.1258752,-32.0505298
-52.1284448,-32.0468769
-52.1293851,-32.045227
-52.1248134,-32.0422621
-52.1252663,-32.0414568
-52.1243425,-32.0430823
-52.1242975,-32.0491281
-52.1237575,-32.0488925
-52.1256032,-32.0496637
-52.1273141,-32.0464011
-52.1282674,-32.0447516
-52.1327713,-32.0456612
-52.1332188,-32.0448469
-52.1053897,-32.0349873
-52.1369989,-32.0504725
-52.0955177,-32.0452635
-52.0955613,-32.0439359
-52.1207982,-32.0456079
-52.1202108,-32.0453624
-52.1190535,-32.0448759
-52.1179095,-32.0443893
-52.1160091,-32.0435606
-52.1157751,-32.0434594
-52.1146436,-32.0430145
-52.1135155,-32.0425256
-52.1123528,-32.0420379
-52.1066911,-32.0396196
-52.1057084,-32.0391941
-52.1020623,-32.0445166
-52.0911152,-32.0422188
-52.1348539,-32.0553773
-52.1080945,-32.0372288
-52.1103767,-32.0382111
-52.1096469,-32.0418945
-52.1100984,-32.0410813
-52.1110424,-32.0394439
-52.1340823,-32.0482336
-52.1335537,-32.0548212
-52.1346497,-32.0529059
-52.1358113,-32.0509703
-52.1358113,-32.0509703
-52.1243937,-32.0441199
-52.1304545,-32.053041
-52.1313553,-32.0515026
-52.1325351,-32.0495766
-52.1325351,-32.0495766
-52.1325351,-32.0495766
-52.1294373,-32.0547735
-52.1308285,-32.0551455
-52.1314791,-32.0539578
-52.1314791,-32.0539578
-52.1314791,-32.0539578
-52.1326266,-32.0520445
-52.1337608,-32.050098
-52.1337608,-32.050098
-52.1248313,-32.0496049
-52.1241816,-32.0493086
-52.1236028,-32.049076
-52.1230544,-32.0488294
-52.1255487,-32.0498499
-52.0948378,-32.0447278
-52.0948378,-32.0447278
-52.1332315,-32.0483877
-52.1308657,-32.0474639
-52.1001348,-32.0454387
-52.1001692,-32.0453911
-52.1001348,-32.0454387
-52.1001348,-32.0454387
-52.1006273,-32.0446616
-52.1001348,-32.0454387
-52.1352023,-32.0487018
-52.1342831,-32.0503202
-52.1361252,-32.0470801
-52.1365941,-32.0462659
-52.0948646,-32.0433998
-52.100333,-32.0423602
-52.0963338,-32.0473972
-52.0963338,-32.0473972
-52.1251235,-32.0512096
-52.1255487,-32.0498499
-52.1256032,-32.0496637
-52.1261041,-32.0480344
-52.1181597,-32.047662
-52.1170227,-32.0471723
-52.1193373,-32.048164
-52.1187351,-32.0479073
-52.1175985,-32.0474228
-52.1170227,-32.0471723
-52.1155175,-32.0317398
-52.1232753,-32.0436538
-52.121905,-32.0460631
-52.1209364,-32.0477007
-52.0963719,-32.0457843
-52.0948023,-32.0460734
-52.0934156,-32.0460601
-52.1328731,-32.0545379
-52.1326019,-32.0549974
-52.1339993,-32.0526297
-52.1308689,-32.0488677
-52.1315623,-32.0477111
-52.129711,-32.0508016
-52.1315177,-32.0553288
-52.1321658,-32.0542436
-52.1320312,-32.054469
-52.1333061,-32.0523342
-52.1344631,-32.0503968
-52.1344631,-32.0503968
-52.0977996,-32.0467322
-52.0963466,-32.0470177
-52.0954668,-32.0471847
-52.1267372,-32.046143
-52.1286734,-32.0429095
-52.1281861,-32.0437008
-52.1262753,-32.0469134
-52.1256107,-32.0456678
-52.1270619,-32.043237
-52.1275342,-32.0424207
-52.12515,-32.0464347
-52.1354133,-32.050801
-52.1372925,-32.0475855
-52.1363352,-32.0491759
-52.1365842,-32.0487807
-52.1378435,-32.0466848
-52.1210383,-32.0427023
-52.1196194,-32.0451134
-52.1215041,-32.0418717
-52.104634,-32.0378238
-52.1243425,-32.0430823
-52.1173422,-32.0441495
-52.1187673,-32.041725
-52.1192557,-32.0409091
-52.121369,-32.0458292
-52.1218228,-32.0450555
-52.1284466,-32.0502545
-52.0981939,-32.0454295
-52.0980496,-32.044786
-52.0978918,-32.0441492
-52.0977403,-32.0435231
-52.0975908,-32.0428845
-52.0983394,-32.0460726
-52.1296008,-32.0522703
-52.1303486,-32.0510734
-52.1314895,-32.0491317
-52.1321881,-32.0479427
-52.1288403,-32.0535817
-52.0931101,-32.046273
-52.0930602,-32.0451919
-52.0930414,-32.0447164
-52.0929904,-32.0435049
-52.0929683,-32.0431983
-52.0929348,-32.0421874
-52.1285804,-32.0513162
-52.1290591,-32.0505209
-52.1301911,-32.0485783
-52.1308657,-32.0474639
-52.1308657,-32.0474639
-52.1308657,-32.0474639
-52.1316389,-32.0461856
-52.1341144,-32.0538767
-52.1334359,-32.0535843
-52.1314329,-32.0527212
-52.1327389,-32.0532839
-52.1320589,-32.0529909
-52.1308012,-32.0524489
-52.1297709,-32.0520028
-52.1297709,-32.0520028
-52.1293424,-32.0541915
-52.129015,-32.0546598
-52.0994794,-32.0418605
-52.1001881,-32.0417139
-52.1352139,-32.0519458
-52.1338688,-32.0513918
-52.1331791,-32.0510963
-52.1319316,-32.0505619
-52.130907,-32.0501231
-52.1352139,-32.0519458
-52.1415305,-32.0505154
-52.1381572,-32.0509722
-52.1386006,-32.0501884
